inspec_ym,inspec_loc,pH,water02,SS,water04,water05,DO,TP,대장균총,분원성대장균,수온,EC,water12,water13,water14,water15,water16,water17,water18,water19,TN,water21,water22,water23,water24,water25,water26,water27,area_CODE,area_NAME,river_CODE,river_NAME,loc_NAME,loc_ADDR,year,month,river_name,track,ecoli_label_raw,label_A,label_B
202103,216,7.7,1.2,5.1,4.2,2.7,9.4,0.048,12260.0,924.0,11.7,428.0,0.0,0.0,,,0.0,0.0,0.0,0.184,2.47,2.989,3.086,0.022,0.047,0.0,4.2,0.0,1,수영강,29,온천천,온천천2(연안교),연안교,2021,3,온천천,A,924.0,0,0
202103,301,6.8,5.1,11.8,5.3,7.7,3.5,0.088,435200.0,33200.0,11.9,16844.0,0.0,0.0,,,0.0,0.0,0.0,1.173,0.351,2.802,3.067,0.084,0.087,0.0,4.4,0.0,4,낙동강,22,괴정천,괴정천,하단초등학교 뒤,2021,3,괴정천,B,33200.0,1,0
202105,312,7.8,1.9,1.8,2.0,6.0,5.0,0.089,,,17.0,51690.0,0.0,,,,,,,0.231,0.09,0.869,1.229,0.054,0.08,,1.7,,2,중부산,3,동천,동천2-1,범3호교(성서교),2021,5,동천,B,,0,0
202105,327,7.5,0.6,4.0,2.2,2.6,9.5,0.053,,,17.4,214.0,0.0,,,,,,,0.045,1.589,1.916,1.92,0.031,0.05,,4.0,,1,수영강,29,온천천,온천천(청룡),청룡2호교,2021,5,온천천,A,,0,0
202105,328,7.9,0.7,4.0,2.4,1.8,10.0,0.07,,,16.7,265.0,0.0,,,,,,,0.015,1.909,2.144,2.299,0.055,0.066,,3.9,,1,수영강,29,온천천,온천천(온천),온천교,2021,5,온천천,A,,0,0
202105,329,7.7,0.8,4.1,2.4,2.0,9.3,0.066,,,16.8,299.0,0.0,,,,,,,0.065,2.01,2.289,2.355,0.041,0.063,,2.9,,1,수영강,29,온천천,온천천(세병),세병교,2021,5,온천천,A,,0,0
202106,206,7.8,5.5,9.0,3.2,3.1,5.2,0.462,70600.0,14600.0,20.4,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.156,2.667,6.192,6.556,0.353,0.355,0.0,0.7,0.0,2,중부산,3,동천,동천1,광무교,2021,6,동천,B,14600.0,1,0
202106,207,7.6,3.5,2.8,2.0,5.9,4.9,0.126,323000.0,52000.0,19.1,42277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.266,1.289,1.475,0.069,0.075,0.0,3.2,0.0,2,중부산,3,동천,동천2,범4호교,2021,6,동천,B,52000.0,1,0
202106,208,7.2,7.6,3.3,2.8,9.0,2.0,0.216,1274000.0,288000.0,20.2,36717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.097,1.972,2.302,0.1,0.125,0.0,1.4,0.0,2,중부산,3,동천,동천3,범일교,2021,6,동천,B,288000.0,1,1
202106,215,8.8,1.5,5.3,3.0,2.5,8.4,0.062,35640.0,6428.0,26.2,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,1.507,1.896,1.942,0.046,0.055,0.0,5.4,0.0,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,2021,6,온천천,A,6428.0,1,0
202106,216,7.3,5.4,8.3,2.9,7.2,7.8,0.139,12260.0,924.0,25.7,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,1.605,2.114,2.373,0.074,0.078,0.0,58.0,0.0,1,수영강,29,온천천,온천천2(연안교),연안교,2021,6,온천천,A,924.0,0,0
202106,301,7.7,5.1,8.6,3.1,4.9,7.7,0.18,69700.0,12100.0,21.9,328.0,0.0,0.0,,,0.0,0.0,0.0,0.441,2.291,3.114,3.756,0.093,0.116,0.0,13.0,0.0,4,낙동강,22,괴정천,괴정천,하단초등학교 뒤,2021,6,괴정천,B,12100.0,1,0
202106,312,7.3,6.1,3.3,2.6,6.2,1.7,0.216,855000.0,309000.0,19.7,38203.0,0.0,0.0,,,0.0,0.0,0.0,1.078,0.108,1.733,2.109,0.089,0.144,0.0,1.3,0.0,2,중부산,3,동천,동천2-1,범3호교(성서교),2021,6,동천,B,309000.0,1,1
202106,327,7.6,0.4,1.4,0.9,1.2,9.6,0.057,11.0,2.0,21.6,84.0,0.0,0.0,,,0.0,0.0,0.0,0.014,0.827,0.883,1.047,0.03,0.035,0.0,2.7,0.0,1,수영강,29,온천천,온천천(청룡),청룡2호교,2021,6,온천천,A,2.0,0,0
202106,328,8.1,0.8,4.3,2.7,1.6,8.0,0.074,4650.0,1008.0,24.1,288.0,0.0,0.0,,,0.0,0.0,0.0,0.049,1.557,1.828,2.168,0.043,0.047,0.0,4.0,0.0,1,수영강,29,온천천,온천천(온천),온천교,2021,6,온천천,A,1008.0,1,0
202106,329,7.9,1.1,4.2,2.6,3.6,8.5,0.082,65860.0,10412.0,24.1,317.0,0.0,0.0,,,0.0,0.0,0.0,0.075,1.693,2.05,2.17,0.051,0.056,0.0,3.6,0.0,1,수영강,29,온천천,온천천(세병),세병교,2021,6,온천천,A,10412.0,1,0
